Date,Sensor Log,Tempature (°C),Tempature (°F),Heat Index (°C),Heat Index (°F),Humidity (%),Air Quality (ppm),Light Intensity (lux),Pressure (hPa),Fire Status,Activity Status
"Saturday,09-December-2023||16:57:33",64,32,89.6,40.56,105,70.4,4.01,102.37,1006.77,0,1
"Saturday,09-December-2023||16:57:39",65,31.9,89.42,40.22,104.4,70.3,3.94,102.49,1006.76,0,0
"Saturday,09-December-2023||16:57:44",66,32,89.6,40.78,105.4,71,3.82,102.37,1006.77,0,0
"Saturday,09-December-2023||16:57:50",67,31.9,89.42,40.33,104.6,70.6,3.74,102.41,1006.77,0,0
"Saturday,09-December-2023||16:57:55",68,31.9,89.42,40.48,104.86,71,3.89,101.48,1006.76,0,0
"Saturday,09-December-2023||16:58:01",69,31.9,89.42,40.37,104.66,70.7,3.7,102.54,1006.76,0,1
"Saturday,09-December-2023||16:58:06",70,32,89.6,40.59,105.07,70.5,3.86,101.8,1006.76,0,0
"Saturday,09-December-2023||16:58:12",71,31.9,89.42,40.26,104.47,70.4,3.63,102.22,1006.76,0,0
"Saturday,09-December-2023||16:58:18",72,31.9,89.42,40.19,104.34,70.2,3.63,102.19,1006.77,0,1
"Saturday,09-December-2023||16:58:23",73,32,89.6,40.56,105,70.4,3.67,102.34,1006.77,0,0
"Saturday,09-December-2023||16:58:30",74,31.9,89.42,40.26,104.47,70.4,3.7,101.7,1006.77,0,0
"Saturday,09-December-2023||16:58:35",75,31.9,89.42,40.15,104.28,70.1,3.63,101.38,1006.78,0,1
"Saturday,09-December-2023||16:58:41",76,32,89.6,40.48,104.87,70.2,3.56,101.7,1006.78,0,0
"Saturday,09-December-2023||16:58:47",77,32,89.6,40.56,105,70.4,3.34,102.12,1006.77,0,0
"Saturday,09-December-2023||16:58:52",78,31.9,89.42,40.19,104.34,70.2,3.56,101.63,1006.77,0,1
"Saturday,09-December-2023||16:58:58",79,32,89.6,40.52,104.93,70.3,3.52,101.2,1006.77,0,0
"Saturday,09-December-2023||16:59:03",80,32,89.6,40.48,104.87,70.2,3.41,101.82,1006.78,0,0
"Saturday,09-December-2023||16:59:09",81,31.9,89.42,40.22,104.4,70.3,3.43,101.87,1006.77,0,0
"Saturday,09-December-2023||16:59:15",82,31.9,89.42,40.19,104.34,70.2,3.43,102.24,1006.77,0,0
"Saturday,09-December-2023||16:59:21",83,32,89.6,40.52,104.93,70.3,3.32,101.05,1006.77,0,0
"Saturday,09-December-2023||16:59:27",84,31.9,89.42,40.22,104.4,70.3,3.28,102.02,1006.77,0,0
"Saturday,09-December-2023||16:59:32",85,31.9,89.42,40.22,104.4,70.3,3.28,102.1,1006.76,0,1
"Saturday,09-December-2023||16:59:38",86,31.9,89.42,40.22,104.4,70.3,3.52,102.34,1006.76,0,0
"Saturday,09-December-2023||16:59:44",87,32,89.6,40.52,104.93,70.3,3.28,102.44,1006.76,0,1
"Saturday,09-December-2023||16:59:49",88,32,89.6,40.48,104.87,70.2,3.09,101.82,1006.77,0,0
"Saturday,09-December-2023||16:59:55",89,32,89.6,40.45,104.8,70.1,3.28,101.6,1006.77,0,0
"Saturday,09-December-2023||17:00:00",90,31.9,89.42,40.19,104.34,70.2,3.3,101.6,1006.76,0,0
"Saturday,09-December-2023||17:00:06",91,31.9,89.42,40.22,104.4,70.3,3.22,101.28,1006.76,0,0
"Saturday,09-December-2023||17:00:28",0,31.9,89.42,40.37,104.66,70.7,2.84,101.9,1006.78,0,1
"Saturday,09-December-2023||17:00:34",1,31.9,89.42,40.3,104.53,70.5,3.17,102.05,1006.78,0,0
"Saturday,09-December-2023||17:00:40",2,31.9,89.42,40.22,104.4,70.3,3.24,101.55,1006.78,0,0
"Saturday,09-December-2023||17:00:46",3,31.9,89.42,40.44,104.8,70.9,2.84,102.44,1006.78,0,0
"Saturday,09-December-2023||17:00:51",4,32,89.6,40.52,104.93,70.3,3.01,102.24,1006.79,0,1
"Saturday,09-December-2023||17:00:57",5,32,89.6,40.52,104.93,70.3,2.94,101.15,1006.79,0,1
"Saturday,09-December-2023||17:01:03",6,31.9,89.42,40.22,104.4,70.3,2.94,102.24,1006.79,0,0
"Saturday,09-December-2023||17:01:08",7,32,89.6,40.48,104.87,70.2,2.92,102.46,1006.79,0,1
"Saturday,09-December-2023||17:01:14",8,31.9,89.42,40.15,104.28,70.1,3.07,101.2,1006.79,0,0
"Saturday,09-December-2023||17:01:20",9,32,89.6,40.45,104.8,70.1,3.15,101.73,1006.79,0,0
"Saturday,09-December-2023||17:01:25",10,31.9,89.42,40.15,104.28,70.1,2.84,102,1006.8,0,0
"Saturday,09-December-2023||17:01:31",11,32,89.6,40.56,105,70.4,2.84,102.24,1006.8,0,0
"Saturday,09-December-2023||17:01:37",12,31.9,89.42,40.15,104.28,70.1,2.71,101.18,1006.81,0,0
"Saturday,09-December-2023||17:01:43",13,32,89.6,40.48,104.87,70.2,2.82,102.34,1006.8,0,1
"Saturday,09-December-2023||17:01:48",14,32,89.6,40.48,104.87,70.2,2.86,102.17,1006.79,0,0
"Saturday,09-December-2023||17:01:54",15,32,89.6,40.56,105,70.4,2.66,101.5,1006.79,0,1
"Saturday,09-December-2023||17:01:59",16,32,89.6,40.59,105.07,70.5,2.94,102.27,1006.79,0,1
"Saturday,09-December-2023||17:02:04",17,31.9,89.42,40.19,104.34,70.2,2.88,102.29,1006.79,0,0
"Saturday,09-December-2023||17:02:10",18,32,89.6,40.59,105.07,70.5,2.94,101.82,1006.8,0,0
"Saturday,09-December-2023||17:02:15",19,32,89.6,40.48,104.87,70.2,2.94,101.7,1006.8,0,0
"Saturday,09-December-2023||17:02:21",20,32,89.6,40.56,105,70.4,2.31,102.58,1006.79,0,1
"Saturday,09-December-2023||17:02:26",21,31.9,89.42,40.22,104.4,70.3,2.82,101.43,1006.8,0,0
"Saturday,09-December-2023||17:02:31",22,32,89.6,40.52,104.93,70.3,2.75,102.68,1006.8,0,0
"Saturday,09-December-2023||17:02:37",23,32,89.6,40.48,104.87,70.2,2.68,102.32,1006.8,0,1
"Saturday,09-December-2023||17:02:42",24,32,89.6,40.52,104.93,70.3,2.7,102.05,1006.8,0,0
"Saturday,09-December-2023||17:02:48",25,32,89.6,40.59,105.07,70.5,2.96,102,1006.8,0,0
"Saturday,09-December-2023||17:02:53",26,32.1,89.78,40.85,105.54,70.4,2.66,101.08,1006.8,0,0
"Saturday,09-December-2023||17:02:58",27,32,89.6,40.56,105,70.4,2.64,102.19,1006.79,0,1
"Saturday,09-December-2023||17:03:04",28,32.1,89.78,40.82,105.47,70.3,2.66,101.8,1006.8,0,0
"Saturday,09-December-2023||17:03:09",29,32.1,89.78,40.97,105.74,70.7,2.7,101.95,1006.81,0,0
"Saturday,09-December-2023||17:03:15",30,32,89.6,40.52,104.93,70.3,2.57,102.46,1006.82,0,0
"Saturday,09-December-2023||17:03:22",0,32.1,89.78,40.78,105.4,70.2,2.86,102.22,1006.7,0,0
"Saturday,09-December-2023||17:03:27",1,32.1,89.78,40.74,105.33,70.1,2.88,102,1006.76,0,0
"Saturday,09-December-2023||17:03:33",2,32.1,89.78,40.78,105.4,70.2,2.66,102.07,1006.79,0,0
"Saturday,09-December-2023||17:03:39",3,32.1,89.78,40.82,105.47,70.3,2.66,101.5,1006.8,0,0
"Saturday,09-December-2023||17:03:44",4,32.1,89.78,40.85,105.54,70.4,2.9,102.1,1006.82,0,1
"Saturday,09-December-2023||17:03:50",5,32,89.6,40.48,104.87,70.2,2.86,101.95,1006.82,0,0
"Saturday,09-December-2023||17:03:56",6,32.1,89.78,40.82,105.47,70.3,2.79,102.05,1006.82,0,1
"Saturday,09-December-2023||17:04:05",0,32.1,89.78,40.82,105.47,70.3,2.98,101.7,1006.82,0,1
"Saturday,09-December-2023||17:04:11",1,32.1,89.78,40.82,105.47,70.3,2.82,101.43,1006.82,0,1
"Saturday,09-December-2023||17:04:16",2,32.1,89.78,40.89,105.6,70.5,2.92,102.17,1006.83,0,0
"Saturday,09-December-2023||17:04:22",3,32.1,89.78,40.97,105.74,70.7,3.47,102.34,1006.84,0,0
"Saturday,09-December-2023||17:04:28",0,32.1,89.78,40.85,105.54,70.4,3.26,102.44,1006.83,0,0
