Date,Sensor Log,Tempature (°C),Tempature (°F),Heat Index (°C),Heat Index (°F),Humidity (%),Air Quality (ppm),Light Intensity (lux),Pressure (hPa),Fire Status,Activity Status
"Friday,08-December-2023||16:21:37",29,32.3,90.14,37.16,98.89,58,1.45,81.32,1001.69,0,1
"Friday,08-December-2023||16:20:48",22,27.8,82.04,30.31,86.56,70.2,1.42,80.08,1001.66,0,0
"Friday,08-December-2023||16:21:44",30,32.1,89.78,36.59,97.86,57.6,1.23,83.82,1001.69,0,0
"Friday,08-December-2023||16:21:53",31,32.1,89.78,36.65,97.96,57.8,1.39,70.84,1001.7,0,0
"Friday,08-December-2023||16:22:02",32,32,89.6,36.42,97.56,57.8,1.47,85.3,1001.7,0,0
"Friday,08-December-2023||16:22:09",33,31.8,89.24,36.04,96.87,58,1.47,77.85,1001.71,0,0
"Friday,08-December-2023||16:22:15",34,31.6,88.88,35.72,96.29,58.4,1.5,82.45,1001.7,0,0
"Friday,08-December-2023||16:22:21",35,31.4,88.52,35.36,95.66,58.7,1.49,81.91,1001.71,0,0
"Friday,08-December-2023||16:22:29",36,31.4,88.52,35.47,95.85,59.1,1.46,82.18,1001.72,0,0
"Friday,08-December-2023||16:22:36",37,31.2,88.16,35.09,95.17,59.3,1.42,79.43,1001.72,0,1
"Friday,08-December-2023||16:22:42",38,31.1,87.98,35.03,95.06,59.9,1.41,82.34,1001.72,0,0
"Friday,08-December-2023||16:22:49",39,30.9,87.62,34.66,94.39,60.1,1.46,81.44,1001.71,0,0
"Friday,08-December-2023||16:22:56",40,30.7,87.26,34.36,93.85,60.6,1.42,82.65,1001.71,0,1
"Friday,08-December-2023||16:23:04",41,30.6,87.08,34.22,93.6,60.9,1.5,80.97,1001.71,0,0
"Friday,08-December-2023||16:23:11",42,30.2,86.36,33.49,92.29,61.3,1.49,81.95,1001.71,0,0
"Friday,08-December-2023||16:23:19",43,30.1,86.18,33.42,92.16,61.9,1.43,78.94,1001.71,0,0
"Friday,08-December-2023||16:23:29",44,29.9,85.82,33.06,91.51,62.1,1.48,84.86,1001.73,0,0
"Friday,08-December-2023||16:23:36",45,29.7,85.46,32.78,91.01,62.7,1.47,84.6,1001.74,0,0
"Friday,08-December-2023||16:23:53",47,29.5,85.1,32.58,90.65,63.7,1.47,83.14,1001.75,0,1
"Friday,08-December-2023||16:23:46",46,29.7,85.46,32.88,91.19,63.2,1.5,84.71,1001.74,0,0
"Saturday,09-December-2023||16:51:24",0,31.7,89.06,39.78,103.61,70.7,19.28,102.99,1006.65,0,0
"Saturday,09-December-2023||16:51:31",1,31.6,88.88,39.53,103.15,70.8,24.32,102.15,1006.66,0,0
"Saturday,09-December-2023||16:51:37",2,31.6,88.88,39.53,103.15,70.8,22.63,102.66,1006.67,0,0
"Saturday,09-December-2023||16:51:42",3,31.7,89.06,39.85,103.74,70.9,21.47,101.95,1006.66,0,0
"Saturday,09-December-2023||16:51:48",4,31.6,88.88,39.46,103.03,70.6,19.67,102.61,1006.67,0,0
"Saturday,09-December-2023||16:51:54",5,31.7,89.06,39.78,103.61,70.7,17.13,102.29,1006.66,0,0
"Saturday,09-December-2023||16:52:00",6,31.7,89.06,39.75,103.55,70.6,16.54,102.49,1006.66,0,0
"Saturday,09-December-2023||16:52:06",7,31.6,88.88,39.42,102.97,70.5,15.26,102.83,1006.66,0,0
"Saturday,09-December-2023||16:52:11",8,31.8,89.24,40.07,104.13,70.7,14.07,102.68,1006.66,0,0
"Saturday,09-December-2023||16:52:17",9,31.7,89.06,39.85,103.74,70.9,13.43,102.92,1006.67,0,0
"Saturday,09-December-2023||16:52:23",10,31.7,89.06,39.89,103.8,71,12.11,102.95,1006.67,0,0
